Source;Target;Weight;Type
1;3;3;Undirected
1;16;5;Undirected
1;190;4;Undirected
1;210;3;Undirected
1;239;5;Undirected
1;318;5;Undirected
1;406;4;Undirected
1;437;5;Undirected
1;545;5;Undirected
1;655;5;Undirected
1;664;5;Undirected
1;720;5;Undirected
1;729;5;Undirected
1;894;4;Undirected
1;1000;5;Undirected
1;1008;5;Undirected
1;1128;5;Undirected
1;1215;5;Undirected
1;1223;5;Undirected
2;5;1;Undirected
2;63;5;Undirected
2;212;5;Undirected
2;229;3;Undirected
2;237;5;Undirected
2;247;1;Undirected
2;254;1;Undirected
2;266;5;Undirected
2;269;1;Undirected
2;283;4;Undirected
2;374;5;Undirected
2;376;5;Undirected
2;439;5;Undirected
2;468;1;Undirected
2;486;1;Undirected
2;543;5;Undirected
2;555;5;Undirected
2;581;5;Undirected
2;586;1;Undirected
2;620;2;Undirected
2;631;10;Undirected
2;715;10;Undirected
2;807;2;Undirected
2;810;5;Undirected
2;905;1;Undirected
2;1015;1;Undirected
2;1020;5;Undirected
2;1070;5;Undirected
2;1076;5;Undirected
2;1108;1;Undirected
2;1118;2;Undirected
2;1134;10;Undirected
2;1154;2;Undirected
2;1161;6;Undirected
2;1217;2;Undirected
2;1245;5;Undirected
3;16;5;Undirected
3;24;5;Undirected
3;76;4;Undirected
3;102;4;Undirected
3;115;5;Undirected
3;163;5;Undirected
3;190;8;Undirected
3;210;1;Undirected
3;223;5;Undirected
3;225;2;Undirected
3;239;10;Undirected
3;263;2;Undirected
3;318;5;Undirected
3;377;2;Undirected
3;383;5;Undirected
3;402;2;Undirected
3;406;4;Undirected
3;421;5;Undirected
3;422;5;Undirected
3;437;8;Undirected
3;469;2;Undirected
3;479;4;Undirected
3;497;5;Undirected
3;545;5;Undirected
3;553;5;Undirected
3;588;1;Undirected
3;655;5;Undirected
3;664;5;Undirected
3;676;3;Undirected
3;695;5;Undirected
3;708;5;Undirected
3;711;1;Undirected
3;712;3;Undirected
3;720;5;Undirected
3;729;18;Undirected
3;731;5;Undirected
3;778;3;Undirected
3;785;5;Undirected
3;797;5;Undirected
3;807;3;Undirected
3;858;3;Undirected
3;930;2;Undirected
3;938;5;Undirected
3;1000;8;Undirected
3;1008;5;Undirected
3;1030;3;Undirected
3;1037;5;Undirected
3;1054;1;Undirected
3;1112;6;Undirected
3;1128;8;Undirected
3;1136;1;Undirected
3;1166;4;Undirected
3;1196;5;Undirected
3;1204;5;Undirected
3;1215;5;Undirected
3;1223;5;Undirected
3;1246;2;Undirected
4;44;3;Undirected
4;53;3;Undirected
4;73;3;Undirected
4;76;1;Undirected
4;86;5;Undirected
4;90;5;Undirected
4;96;6;Undirected
4;123;5;Undirected
4;147;3;Undirected
4;149;2;Undirected
4;163;1;Undirected
4;199;7;Undirected
