id;Label;Year;Nationality;Weight
1;Stan Beckers;1952;Belgische;1
2;Marco van Kalleveen;;Nederlandse;1
3;David Knibbe;1971;Nederlandse;1
4;Michael Geslak;;Amerikaanse;1
5;Paul Boomkamp;1969;Nederlandse;1
6;Richard Flint;;;1
7;Baptiest Coopmans;1965;Nederlandse;1
8;Mark Bloom;;Amerikaanse;1
9;Isabelle Bouillot;1949;Franse;1
10;Stuart Silcock;;Britse;1
11;Paul Nijhof;1965;Nederlandse;1
12;Jörg Neermann;;;1
13;Alexander van Ofwegen;;Nederlandse;1
14;Wouter van der Woerd;;;1
15;Govert Hamers;;Nederlandse;1
16;Lard Friese;1962;Nederlandse;1
17;Patrick Dear;;Britse;1
18;Johan van der Werf;1952;Nederlandse;1
19;Leo van Wijk;1946;Nederlandse;1
20;Barrie Ward;1938;Britse;1
21;Christophe Cuvillier;1962;Franse;1
22;Dick Hordijk;;;1
23;Richard Boléat;;;1
24;Hans Alders;;Nederlandse;1
25;Joost de Haas;1959;Nederlandse;1
26;Adrian Grace;1963;Britse;1
27;Rajesh Parekh;;;1
28;Trevor Perren;;;1
29;Jeroen Slop;1961;Nederlandse;1
30;Rob van der Heijden;1965;Nederlandse;1
31;Jean-Marie Tritant;1967;Franse;1
32;Sjoerd van Keulen;1946;Nederlandse;1
33;Ben van der Veer;1951;Nederlandse;1
34;Giovanna Kampouri Monnas;1955;Griekse;1
35;Cathie Lesjak;;;1
36;Fred van Houten;1951;Nederlandse;1
37;Frank Engelen;1971;Nederlandse;1
38;Remko Herschel;;;1
39;Remy Cuny;1976;Nederlandse;1
40;Anthony Ruys;1947;Nederlandse;1
41;John Voppen;;Nederlandse;1
42;Eben Albertyn;1976;Zuid-Afrikaanse;1
43;Jan Hovers;1943;Nederlandse;1
44;Carin Gorter;1963;Nederlandse;1
45;Jan Groen;;Nederlandse;1
46;Kees Goudswaard;1955;Nederlandse;1
47;Olivier Bossard;1964;Franse;1
48;Solenne Lepage;1972;Franse;1
49;Roland van Kralingen;;Nederlandse;1
50;Sikko van Katwijk;1963;Nederlandse;1
51;Annemieke Roobeek;1958;Nederlandse;1
52;Nout Wellink;1943;Nederlandse;1
53;Brent Wissink;;;1
54;Thijs Manders;1963;Nederlandse;1
55;Guido Geerts;;;1
56;Egbert ten Cate;1946;Nederlandse;1
57;Koen Hoffman;;Nederlandse;1
58;Mats Jansson;1951;Zweedse;1
59;Leen Meijaard;;Nederlandse;1
60;Deepak Luthra;;Indiase;1
61;Resi Becker;;;1
62;Hanneke Faber;1969;Nederlandse;1
63;Ada van der Veer-Vergeer;1959;Nederlandse;1
64;Bernd Leukert;;;1
65;Xander den Uyl;;;1
66;Salomon Guggenheim;;;1
67;Ronald Wuijster;;;1
68;Daan van Doorn;1948;Nederlandse;1
69;Ming He;;Amerikaanse;1
70;Jos Smetsers;;Nederlandse;1
71;Alexander de Carvalho;1984;Nederlandse;1
72;Annemarie Jorritsma-Lebbink;1950;Nederlandse;1
73;Maarten Kolff;1961;Nederlandse;1
74;Kathryn A. Matthews;1960;Britse;1
75;Peter Mensing;;Nederlandse;1
76;Koos Timmermans;1960;Nederlandse;1
77;Dirk Anbeek;1963;Nederlandse;1
78;Michael Bennett;1953;Amerikaanse;1
79;Arnout Traas;;;1
80;Eitan Rechter;1949;Israelische;1
81;Herman van Everdingen;1955;Nederlandse;1
82;Thierry Vanlancker;;Belgische;1
83;Gerben Everts;1971;Nederlandse;1
84;Jaap van Wiechen;1972;Nederlandse;1
85;Willem-Jan Strijbosch;1968;Nederlandse;1
86;Monika Milz;1957;Duitse;1
87;Marc Vangeel;;Belgische;1
88;Dan Durn;;;1
89;Susi Zijderveld;;;1
90;Els de Groot;1965;Nederlandse;1
91;Wim Kuijken;1952;Nederlandse;1
92;Eric Fischer;1946;Nederlandse;1
93;Lex van Overmeire;1956;Nederlandse;1
94;Klaas Wester;1946;Nederlandse;1
95;Corien Wortmann-Kool;1959;Nederlandse;1
96;Paulus de Wilt;1964;Nederlandse;1
97;Ferdinand Verdonck;1942;Belgische;1
98;Eric Dam;1951;Nederlandse;1
99;Herman Pabbruwe;1953;Nederlandse;1
100;Marjan Trompetter;1963;Nederlandse;1
101;Jeroen Rovers;;;1
102;Niek Hoek;1956;Nederlandse;1
103;Aad de Winter;1953;Nederlandse;1
104;Vincent van Dessel;;;1
105;André van den Berg;;Nederlandse;1
106;Ilona Haaijer;;Nederlandse;1
107;Ben Voorhorst;1959;Nederlandse;1
108;Marcel Scholtens;;;1
109;Huub Willems;1944;Nederlandse;1
110;Ivo Vliegen;;Belgische;1
111;Bart Koolstra;;;1
112;Theo Baartmans;1960;Nederlandse;1
113;Maarten Blacquière;1967;Nederlandse;1
114;John Farrell;1957;Britse;1
115;Marco Keim;1962;Nederlandse;1
116;Edzard Overbeek;;Nederlandse;1
117;Mark Mullin;1963;Amerikaanse;1
118;Allard Castelein;1958;Nederlandse;1
119;Fidelma Russo;1963;Ierse;1
120;Rudy Markham;1947;Britse;1
121;Willy Duron;1945;Belgische;1
122;Yvonne van Oort;1953;Nederlandse;1
123;Olga Zoutendijk;1961;Nederlandse;1
124;Judith Wiese;;Duitse;1
125;Koos Boot;;Nederlandse;1
126;Eugene Grüter;1959;Nederlandse;1
127;Jacob Kielman;1951;Nederlandse;1
128;Manuel Ferreira da Silva;;;1
129;Gerwin Linnenbank;;;1
130;Tom Newton;1957;;1
131;Jan-Willem Wienbelt;1964;Nederlandse;1
132;Agnes Jongerius;1960;Nederlandse;1
133;Erik Oostwegel;1966;Nederlandse;1
134;Mark Elliott;1952;Britse;1
135;Ronan Cassidy;;Britse;1
136;Jan Peter Peterson;1943;;1
137;Jack Messman;1940;Amerikaanse;1
138;Rob Hoevens;1959;Nederlandse;1
139;Wim Kooijman;1950;Nederlandse;1
140;Ruth Markland;1953;Britse;1
141;Rolf Martin Schmitz;1957;Duitse;1
142;Bram Grimmelt;;;1
143;Bruno Angelici;1947;Franse;1
144;Max Groen;1946;Nederlandse;1
145;Frank Brichau;;;1
146;Wim de Weijer;1953;Nederlandse;1
147;Frans van den Hoven;;;1
148;Lodewijk Hijmans van den Bergh;1963;Nederlandse;1
149;Pauline van der Meer Mohr;1960;Nederlandse;1
150;Ruben Wegman;;Nederlandse;1
151;Dirk Lindenbergh;1949;Nederlandse;1
152;Carla Mahieu;1959;Nederlandse;1
153;Ferdi van Dommelen;;;1
154;Vanisha Mittal Bhatia;1981;Indiase;1
155;Michiel Westermann;1952;Nederlandse;1
156;Karnina Rechter;1953;Israelische;1
157;Jan Eggink;;;1
158;Martijn van der Vorm;1958;Nederlandse;1
159;Martin van den Brink;1957;Nederlandse;1
160;Howard Rowe;;;1
161;Rolf-Dieter Schwalb;1952;Duitse;1
162;Jan van Rutte;1950;Nederlandse;1
163;Joop Wijn;1969;Nederlandse;1
164;Rob Routs;1946;Nederlandse;1
165;Rob van Leen;;;1
166;Peter Oosterveer;;;1
167;Peter Sheldon;1941;Britse;1
168;Pascal Visée;1961;Nederlandse;1
169;Johan Danneels;1949;Belgische;1
170;Peter Vrijsen;;;1
171;Maes van Lanschot;;Nederlandse;1
172;Luc Leunis;;;1
173;Jurgen Ernst;1939;Duitse;1
174;Magnus Hall;1959;Zweedse;1
175;Rose-Marie van Leberghe;;;1
176;Jeremy Lewis;1945;Britse;1
